678,3,508,3,192,3,65533,3,1138,3,2587,3,65533,3,331,3
673,3,506,3,192,3,65533,3,1138,3,2808,3,65533,3,329,3
668,3,507,3,192,3,65533,3,65533,3,2806,3,65533,3,331,3
676,3,507,3,192,3,65533,3,1143,3,2589,3,65533,3,331,3
675,3,505,3,192,3,65533,3,1193,3,2810,3,65533,3,331,3
675,3,503,3,192,3,65533,3,65533,3,2587,3,65533,3,331,3
678,3,503,3,192,3,65533,3,65533,3,2808,3,65533,3,331,3
678,3,505,3,192,3,65533,3,1136,3,2805,3,65533,3,331,3
671,3,478,3,192,3,65533,3,65533,3,2805,3,65533,3,329,3
683,3,439,3,192,3,65533,3,1138,3,2808,3,65533,3,329,3
663,3,1659,3,192,3,65533,3,1136,3,2587,3,65533,3,331,3
663,3,648,3,192,3,65533,3,1138,3,2588,3,65533,3,331,3
673,3,500,3,192,3,65533,3,1134,3,2590,3,65533,3,331,3
673,3,547,3,192,3,65533,3,1141,3,2585,3,65533,3,331,3
673,3,627,3,192,3,65533,3,1146,3,2585,3,65533,3,331,3
670,3,731,3,192,3,65533,3,65533,3,2586,3,65533,3,329,3
673,3,835,3,192,3,65533,3,1138,3,2580,3,65533,3,331,3
673,3,1049,3,192,3,65533,3,1138,3,2583,3,65533,3,329,3
675,3,790,3,192,3,65533,3,1138,3,2581,3,65533,3,329,3
673,3,1059,3,192,3,65533,3,65533,3,2576,3,65533,3,329,3
673,3,831,3,192,3,65533,3,1188,3,1253,3,65533,3,331,3
673,3,825,3,192,3,65533,3,1190,3,2582,3,65533,3,329,3
673,3,746,3,192,3,65533,3,1179,3,2584,3,65533,3,331,3
673,3,797,3,192,3,65533,3,1165,3,1251,3,65533,3,331,3
673,3,811,3,192,3,65533,3,1144,3,2580,3,65533,3,331,3
673,3,809,3,192,3,65533,3,1182,3,2592,3,65533,3,329,3
673,3,781,3,192,3,65533,3,1182,3,2582,3,65533,3,331,3
673,3,808,3,192,3,65533,3,1139,3,2584,3,65533,3,331,3
673,3,827,3,192,3,65533,3,1134,3,2583,3,65533,3,331,3
673,3,818,3,192,3,65533,3,1141,3,2582,3,65533,3,329,3
673,3,806,3,192,3,65533,3,1141,3,2584,3,65533,3,333,3
673,3,810,3,192,3,65533,3,1139,3,2584,3,65533,3,331,3
673,3,815,3,192,3,65533,3,1134,3,2582,3,65533,3,331,3
673,3,468,3,192,3,65533,3,1139,3,2585,3,65533,3,331,3
673,3,898,3,192,3,65533,3,1133,3,2585,3,65533,3,331,3
673,3,734,3,192,3,65533,3,1139,3,2585,3,65533,3,331,3
673,3,851,3,192,3,65533,3,1134,3,2585,3,65533,3,328,3
671,3,834,3,192,3,65533,3,1134,3,2585,3,65533,3,329,3
673,3,808,3,192,3,65533,3,1139,3,2585,3,65533,3,331,3
670,3,814,3,192,3,65533,3,1141,3,2585,3,65533,3,331,3
673,3,821,3,192,3,65533,3,1139,3,2585,3,65533,3,329,3
670,3,744,3,192,3,65533,3,1139,3,2585,3,65533,3,331,3
673,3,726,3,192,3,65533,3,1134,3,2585,3,65533,3,329,3
670,3,633,3,192,3,65533,3,1141,3,2587,3,65533,3,331,3
673,3,583,3,192,3,65533,3,1137,3,2589,3,65533,3,331,3
673,3,720,3,192,3,65533,3,1134,3,2587,3,65533,3,329,3
675,3,702,3,192,3,65533,3,1132,3,2590,3,65533,3,329,3
673,3,707,3,192,3,65533,3,1131,3,2592,3,65533,3,331,3
673,3,630,3,192,3,65533,3,1134,3,2589,3,65533,3,329,3
673,3,712,3,192,3,65533,3,1134,3,2590,3,65533,3,331,3
673,3,717,3,192,3,65533,3,1137,3,2590,3,65533,3,329,3
675,3,738,3,192,3,65533,3,1136,3,2587,3,65533,3,334,3
675,3,635,3,192,3,65533,3,1134,3,2590,3,65533,3,331,3
673,3,744,3,192,3,65533,3,1136,3,2589,3,65533,3,331,3
